nr,fusedX,fusedY,fusedZ,gyroX,gyroY,gyroZ,accX,accY,accZ,q,w,e,r,t,z,u,i,o,p,a,s,d,f,g,h,j,k,l,y
56,0.17445901,-0.8888501,-0.37287742,0.17445903,-0.8888501,-0.3728774,0.113033555,-0.8888364,-0.35037762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.17327347,-0.8890098,-0.37237442,0.17327347,-0.88900983,-0.37237442,0.111418284,-0.8958632,-0.35216883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.17209387,-0.88877887,-0.37190154,0.17209387,-0.88877887,-0.37190154,0.11429251,-0.877462,-0.34873027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0.17389339,-0.885628,-0.3657621,0.17389339,-0.88562804,-0.3657621,0.14733307,-0.8765737,-0.31135672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0.17286064,-0.8857707,-0.36518764,0.17286062,-0.8857706,-0.36518764,0.12068437,-0.8906052,-0.3389256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0.16801834,-0.88639617,-0.3663294,0.16801833,-0.8863961,-0.3663294,0.11609295,-0.8996821,-0.34419215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0.16695185,-0.886653,-0.3658787,0.16695185,-0.886653,-0.3658787,0.11469403,-0.89924175,-0.3437936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0.16317774,-0.8859326,-0.3661512,0.16317773,-0.8859326,-0.36615118,0.09965716,-0.88832843,-0.3616162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0.16201015,-0.88608027,-0.36593834,0.16201015,-0.88608027,-0.36593834,0.101721846,-0.89669526,-0.35907644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0.15898925,-0.8876548,-0.36592686,0.15898925,-0.8876548,-0.36592686,0.10972028,-0.9160347,-0.34500775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0.15756275,-0.8879979,-0.36603022,0.15756275,-0.8879979,-0.36603025,0.08748315,-0.902032,-0.37133688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0.15629043,-0.8883834,-0.3659832,0.15629043,-0.8883834,-0.3659832,0.093946874,-0.90727097,-0.3636788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0.15765114,-0.88759124,-0.36302555,0.15765114,-0.88759124,-0.36302555,0.086769074,-0.9062609,-0.37213075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0.15605076,-0.88821965,-0.36346224,0.15605076,-0.88821965,-0.36346224,0.079453886,-0.9227904,-0.38268396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0.16802117,-0.8735569,-0.34066346,0.16802117,-0.8735569,-0.34066346,0.09474842,-0.8896113,-0.36473027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0.1663747,-0.8744488,-0.34135243,0.16637468,-0.8744488,-0.34135246,0.099234976,-0.91256636,-0.35916623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0.19376783,-0.84244156,-0.29711917,0.19376783,-0.84244156,-0.29711917,0.19344422,-0.83161354,-0.24965054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0.19364627,-0.8416438,-0.29622477,0.19364625,-0.8416438,-0.29622474,0.1876901,-0.8025535,-0.25718886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0.1997533,-0.8307078,-0.2890707,0.1997533,-0.8307078,-0.2890707,0.17915758,-0.80493075,-0.26003838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0.19969024,-0.8305854,-0.28788695,0.19969024,-0.8305854,-0.28788695,0.19659986,-0.82458866,-0.2298837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0.19894117,-0.8308187,-0.28750956,0.19512309,-0.824751,-0.2868534,0.15046127,-0.83948815,-0.28298563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0.1936173,-0.82539696,-0.2873624,0.1936173,-0.82539696,-0.2873624,0.11983348,-0.85704756,-0.31230256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0.19192322,-0.827026,-0.28809473,0.19192322,-0.827026,-0.28809473,0.10891269,-0.90685034,-0.3239798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0.20509008,-0.80333316,-0.26043138,0.20509006,-0.80333316,-0.26043135,0.16606203,-0.8428677,-0.2551804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.20414747,-0.80371827,-0.2603952,0.20414747,-0.80371827,-0.2603952,0.15796039,-0.82258844,-0.25862283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0.21617132,-0.76201093,-0.22992264,0.21617132,-0.76201093,-0.22992264,0.14129874,-0.8614438,-0.27512607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
